trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
2355134,6/30/2014 23:57,7/1/2014 0:07,2006,604,131,Lincoln Ave & Belmont Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1988
2355133,6/30/2014 23:56,7/1/2014 0:00,2217,263,282,Halsted St & Maxwell St,22,May St & Taylor St,Subscriber,Male,1992
2355130,6/30/2014 23:33,6/30/2014 23:35,2798,126,327,Sheffield Ave & Webster Ave,225,Halsted St & Dickens Ave,Subscriber,Male,1993
2355129,6/30/2014 23:26,7/1/2014 0:24,173,3481,134,Peoria St & Jackson Blvd,194,State St & Wacker Dr,Subscriber,Female,1988
2355128,6/30/2014 23:16,6/30/2014 23:26,173,638,320,Loomis St & Lexington St,134,Peoria St & Jackson Blvd,Subscriber,Female,1988
2355127,6/30/2014 23:11,6/30/2014 23:17,2782,336,332,Halsted St & Diversey Pkwy,319,Greenview Ave & Diversey Pkwy,Subscriber,Male,1985
2355126,6/30/2014 23:08,6/30/2014 23:13,1152,304,174,Canal St & Madison St,44,State St & Randolph St,Subscriber,Male,1977
2355125,6/30/2014 23:07,6/30/2014 23:16,941,525,199,Wabash Ave & Grand Ave,24,Fairbanks Ct & Grand Ave,Subscriber,Male,1987
2355124,6/30/2014 23:07,6/30/2014 23:10,2316,203,288,Larrabee St & Armitage Ave,94,Clark St & Armitage Ave,Customer,,
2355123,6/30/2014 23:06,6/30/2014 23:09,3022,167,238,Ravenswood Ave & Montrose Ave,316,Damen Ave & Sunnyside Ave,Subscriber,Male,1954
2355119,6/30/2014 23:01,6/30/2014 23:15,1512,844,178,State St & 19th St,55,Halsted St & James M Rochford St,Customer,,
2355116,6/30/2014 22:46,6/30/2014 22:51,2602,290,169,Canal St & Harrison St,91,Clinton St & Washington Blvd,Subscriber,Male,1952
2355111,6/30/2014 22:22,6/30/2014 22:27,361,328,100,Orleans St & Merchandise Mart Plaza,192,Canal St & Adams St,Subscriber,Male,1964
2355110,6/30/2014 22:17,6/30/2014 22:22,2838,329,267,Lake Park Ave & 47th St,322,Kimbark Ave & 53rd St,Subscriber,Female,1991
2355108,6/30/2014 22:15,6/30/2014 22:35,2070,1198,97,Museum Campus,43,Michigan Ave & Washington St,Customer,,
2355107,6/30/2014 22:15,6/30/2014 22:35,546,1217,97,Museum Campus,43,Michigan Ave & Washington St,Customer,,
2355106,6/30/2014 22:14,6/30/2014 22:17,1196,163,50,Clark St & Congress Pkwy,49,Dearborn St & Monroe St,Subscriber,Male,1988
2355100,6/30/2014 22:04,6/30/2014 22:08,948,226,210,Ashland Ave & Division St,350,Ashland Ave & Chicago Ave,Subscriber,Female,1984
2355098,6/30/2014 22:04,6/30/2014 22:24,1337,1229,332,Halsted St & Diversey Pkwy,350,Ashland Ave & Chicago Ave,Subscriber,Female,1983
2355097,6/30/2014 22:03,6/30/2014 22:10,2526,415,80,Aberdeen St & Madison St,91,Clinton St & Washington Blvd,Subscriber,Male,1969
2355096,6/30/2014 22:02,6/30/2014 22:13,2020,674,31,Franklin St & Chicago Ave,287,Franklin St & Arcade Pl,Subscriber,Male,1984
2355095,6/30/2014 22:01,6/30/2014 22:29,2684,1650,199,Wabash Ave & Grand Ave,69,Damen Ave & Pierce Ave,Subscriber,Female,1991
2355093,6/30/2014 21:57,6/30/2014 22:30,989,1964,226,Racine Ave & Belmont Ave,162,Damen Ave & Wellington Ave,Customer,,
